time;uUpper;iUpper;gpsErr;sensorErr;uLower;iLower;qLower;lastLink;timeLeft;userTimeLeft;yy;MM;dd;hh;mm;ss;msec;flags
658,278;11904;503;0;0;0;99;691;0;4569;0;18;9;11;6;26;4;75;75
658,528;11905;501;0;0;0;99;691;0;4569;0;18;9;11;6;26;4;75;75
658,777;11904;497;0;0;0;99;691;1;4569;0;18;9;11;6;26;4;75;75
659,027;11904;497;0;0;0;99;692;1;4569;0;18;9;11;6;26;4;75;75
659,276;11905;501;0;0;0;99;692;1;4569;0;18;9;11;6;26;4;75;75
659,526;11905;499;0;0;0;99;692;1;4569;0;18;9;11;6;26;4;75;75
659,776;11905;499;0;0;0;99;692;2;4569;0;18;9;11;6;26;4;75;75
660,025;11906;503;0;0;0;99;693;0;4568;0;18;9;11;6;26;7;0;   0
660,275;11905;502;0;0;0;99;693;0;4568;0;18;9;11;6;26;7;0;0
660,524;11904;497;0;0;0;99;693;0;4568;0;18;9;11;6;26;7;0;0
660,774;11905;499;0;0;0;99;693;0;4568;0;18;9;11;6;26;7;0;0
661,024;11905;501;0;0;0;99;694;1;4568;0;18;9;11;6;26;7;0;0
661,273;11906;502;0;0;0;99;694;1;4568;0;18;9;11;6;26;7;0;0
661,523;11904;497;0;0;0;99;694;1;4568;0;18;9;11;6;26;7;0;0
661,772;11905;502;0;0;0;99;694;1;4568;0;18;9;11;6;26;7;0;0
662,022;11906;504;0;0;0;99;695;2;4568;0;18;9;11;6;26;7;0;0
662,272;11904;497;0;0;0;99;695;0;4568;0;18;9;11;6;26;9;0;0
662,521;11905;498;0;0;0;99;695;0;4567;0;18;9;11;6;26;9;50;50
662,771;11906;501;0;0;0;99;695;0;4567;0;18;9;11;6;26;9;50;50
663,02;11907;499;0;0;0;99;696;0;4567;0;18;9;11;6;26;9;50;50
663,27;11905;497;0;0;0;99;696;1;4567;0;18;9;11;6;26;9;50;50
663,52;11906;502;0;0;0;99;696;1;4567;0;18;9;11;6;26;9;50;50
663,769;11906;503;0;0;0;99;696;1;4567;0;18;9;11;6;26;9;50;50
664,019;11905;497;0;0;0;99;697;1;4567;0;18;9;11;6;26;9;50;50
664,268;11906;501;0;0;0;99;697;0;4567;0;18;9;11;6;26;11;25;25
664,518;11906;502;0;0;0;99;697;0;4567;0;18;9;11;6;26;11;25;25
664,768;11907;499;0;0;0;99;697;0;4567;0;18;9;11;6;26;11;25;25
665,017;11905;496;0;0;0;99;698;0;4566;0;18;9;11;6;26;12;0;0
665,267;11906;501;0;0;0;99;698;1;4566;0;18;9;11;6;26;12;0;0
665,516;11906;502;0;0;0;99;698;1;4566;0;18;9;11;6;26;12;0;0
665,766;11921;480;0;0;0;99;698;1;4566;0;18;9;11;6;26;12;0;0
666,016;11906;497;0;0;0;99;699;1;4566;0;18;9;11;6;26;12;0;0
666,265;11907;500;0;0;0;99;699;2;4566;0;18;9;11;6;26;12;0;0
666,515;11907;499;0;0;0;99;699;0;4566;0;18;9;11;6;26;13;50;50
666,764;11906;497;0;0;0;99;699;0;4566;0;18;9;11;6;26;13;50;50
667,014;11907;504;0;0;0;99;700;0;4566;0;18;9;11;6;26;13;50;50
667,264;11907;500;0;0;0;99;700;0;4566;0;18;9;11;6;26;13;50;50
667,513;11906;497;0;0;0;99;700;1;4565;0;18;9;11;6;26;14;50;50
667,763;11906;496;0;0;0;99;700;1;4565;0;18;9;11;6;26;14;50;50
668,012;11907;502;0;0;0;99;701;1;4565;0;18;9;11;6;26;14;50;50
668,262;11907;501;0;0;0;99;701;1;4565;0;18;9;11;6;26;14;50;50
668,512;11906;497;0;0;0;99;701;2;4565;0;18;9;11;6;26;14;50;50
668,761;11907;502;0;0;0;99;701;0;4565;0;18;9;11;6;26;15;50;50
669,011;11908;503;0;0;0;99;702;0;4565;0;18;9;11;6;26;15;50;50
669,26;11906;497;0;0;0;99;702;0;4565;0;18;9;11;6;26;15;50;50
669,51;11906;496;0;0;0;99;702;0;4565;0;18;9;11;6;26;15;50;50
669,76;11908;502;0;0;0;99;702;1;4565;0;18;9;11;6;26;15;50;50
670,009;11908;497;0;0;0;99;703;1;4565;0;18;9;11;6;26;17;0;0
670,259;11907;497;0;0;0;99;703;1;4565;0;18;9;11;6;26;17;0;0
670,508;11907;496;0;0;0;99;703;1;4565;0;18;9;11;6;26;17;0;0
670,758;11908;502;0;0;0;99;703;2;4565;0;18;9;11;6;26;17;0;0
671,008;11907;497;0;0;0;99;704;0;4565;0;18;9;11;6;26;17;75;75
671,257;11906;496;0;0;0;99;704;0;4565;0;18;9;11;6;26;17;75;75
671,507;11908;504;0;0;0;99;704;0;4565;0;18;9;11;6;26;17;75;75
671,756;11908;499;0;0;0;99;704;0;4565;0;18;9;11;6;26;17;75;75
672,006;11907;496;0;0;0;99;705;1;4565;0;18;9;11;6;26;17;75;75
672,256;11908;502;0;0;0;99;705;1;4565;0;18;9;11;6;26;17;75;75
672,505;11908;502;0;0;0;99;705;1;4564;0;18;9;11;6;26;19;50;50
672,755;11908;498;0;0;0;99;705;1;4564;0;18;9;11;6;26;19;50;50
673,004;11907;497;0;0;0;99;706;0;4564;0;18;9;11;6;26;20;0;0
673,254;11908;501;0;0;0;99;706;0;4564;0;18;9;11;6;26;20;0;0
673,504;11908;498;0;0;0;99;706;0;4564;0;18;9;11;6;26;20;0;0
673,753;11909;504;0;0;0;99;706;0;4564;0;18;9;11;6;26;20;0;0
674,003;11909;506;0;0;0;99;707;1;4564;0;18;9;11;6;26;20;0;0
674,252;11909;506;0;0;0;99;707;1;4564;0;18;9;11;6;26;20;0;0
674,502;11919;501;0;0;0;99;707;1;4564;0;18;9;11;6;26;20;0;0
674,752;11908;497;0;0;0;99;707;1;4564;0;18;9;11;6;26;20;0;0
675,001;11909;502;0;0;0;99;708;2;4563;0;18;9;11;6;26;22;0;0
675,251;11910;507;0;0;0;99;708;0;4563;0;18;9;11;6;26;22;0;0
675,5;11908;496;0;0;0;99;708;0;4563;0;18;9;11;6;26;22;0;0
675,75;11910;503;0;0;0;99;708;0;4563;0;18;9;11;6;26;22;0;0
676;11909;502;0;0;0;99;709;0;4563;0;18;9;11;6;26;22;0;0
676,249;11908;498;0;0;0;99;709;1;4563;0;18;9;11;6;26;22;0;0
676,499;11908;496;0;0;0;99;709;1;4563;0;18;9;11;6;26;22;0;0
676,748;11910;502;0;0;0;99;709;1;4563;0;18;9;11;6;26;22;0;0
676,998;11910;498;0;0;0;99;710;1;4563;0;18;9;11;6;26;22;0;0
677,248;11908;497;0;0;0;99;710;2;4563;0;18;9;11;6;26;22;0;0
677,497;11910;501;0;0;0;99;710;0;4562;0;18;9;11;6;26;24;50;50
677,747;11910;501;0;0;0;99;710;0;4562;0;18;9;11;6;26;24;50;50
677,996;11908;496;0;0;0;99;711;0;4562;0;18;9;11;6;26;24;50;50
678,246;11909;496;0;0;0;99;711;0;4562;0;18;9;11;6;26;24;50;50
678,496;11909;501;0;0;0;99;711;1;4562;0;18;9;11;6;26;24;50;50
678,745;11911;498;0;0;0;99;711;1;4562;0;18;9;11;6;26;24;50;50
678,995;11909;497;0;0;0;99;712;1;4562;0;18;9;11;6;26;24;50;50
