time;flags;procId;fpStatus;refAs;refAlt;fpItemId
658,444;0;0;3;90;150;1
658,944;0;0;3;90;150;1
659,443;0;0;3;90;150;1
659,942;0;0;3;90;150;1
660,441;0;0;3;90;150;1
660,94;0;0;3;90;150;1
661,44;0;0;3;90;150;1
661,939;0;0;3;90;150;1
662,438;0;0;3;90;150;1
662,937;0;0;3;90;150;1
663,436;0;0;3;90;150;1
663,936;0;0;3;90;150;1
664,435;0;0;3;90;150;1
664,934;0;0;3;90;150;1
665,433;0;0;3;90;150;1
665,932;0;0;3;90;150;1
666,432;0;0;3;90;150;1
666,931;0;0;3;90;150;1
667,43;0;0;3;90;150;1
667,929;0;0;3;90;150;1
668,428;0;0;3;90;150;1
668,928;0;0;3;90;150;1
669,427;0;0;3;90;150;1
669,926;0;0;3;90;150;1
670,425;0;0;3;90;150;1
670,924;0;0;3;90;150;1
671,424;0;0;3;90;150;1
671,923;0;0;3;90;150;1
672,422;0;0;3;90;150;1
672,921;0;0;3;90;150;1
673,42;0;0;3;90;150;1
673,92;0;0;3;90;150;1
674,419;0;0;3;90;150;1
674,918;0;0;3;90;150;1
675,417;0;0;3;90;150;1
675,916;0;0;3;90;150;1
676,416;0;0;3;90;150;1
676,915;0;0;3;90;150;1
677,414;0;0;3;90;150;1
677,913;0;0;3;90;150;1
678,412;0;0;3;90;150;1
678,912;0;0;3;90;150;1
679,411;0;0;3;90;150;1
679,91;0;0;3;90;150;1
680,409;0;0;3;90;150;1
680,908;0;0;3;90;150;1
681,408;0;0;3;90;150;1
681,907;0;0;3;90;150;1
682,406;0;0;3;90;150;1
682,905;0;0;3;90;150;1
683,404;0;0;3;90;150;1
683,904;0;0;3;90;150;1
684,403;0;0;3;90;150;1
684,902;0;0;3;90;150;1
685,401;0;0;3;90;150;1
685,9;0;0;3;90;150;1
686,4;0;0;3;90;150;1
686,899;0;0;3;90;150;1
687,398;0;0;3;90;150;1
687,897;0;0;3;90;150;1
688,396;0;0;3;90;150;1
688,896;0;0;3;90;150;1
689,395;0;0;3;90;150;1
689,894;0;0;3;90;150;1
690,393;0;0;3;90;150;1
690,892;0;0;3;90;150;1
691,392;0;0;3;90;150;1
691,891;0;0;3;90;150;1
692,39;0;0;3;90;150;1
692,889;0;0;3;90;150;1
693,388;0;0;3;90;150;1
693,888;0;0;3;90;150;1
694,387;0;0;3;90;150;1
694,886;0;0;3;90;150;1
695,385;0;0;3;90;150;1
695,884;0;0;3;90;150;1
696,384;0;0;3;90;150;1
696,883;0;0;3;90;150;1
697,382;0;0;3;90;150;1
697,881;0;0;3;90;150;1
698,38;0;0;3;90;150;1
698,88;0;0;3;90;150;1
699,379;0;0;3;90;150;1
699,878;0;0;3;90;150;1
700,377;0;0;3;90;150;1
700,876;0;0;3;90;150;1
701,376;0;0;3;90;150;1
701,875;0;0;3;90;150;1
702,374;0;0;3;90;150;1
702,873;0;0;3;90;150;1
703,372;0;0;3;90;150;1
703,872;0;0;3;90;150;1
704,371;0;0;3;90;150;1
704,87;0;0;3;90;150;1
705,369;0;0;3;90;150;1
705,868;0;0;3;90;150;1
706,368;0;0;3;90;150;1
706,867;0;0;3;90;150;1
707,366;0;0;3;90;150;1
707,865;0;0;3;90;150;1
708,364;0;0;3;90;150;1
708,864;0;0;3;90;150;1
709,363;0;0;3;90;150;1
709,862;0;0;3;90;150;1
710,361;0;0;3;90;150;1
710,86;0;0;3;90;150;1
711,36;0;0;3;90;150;1
711,859;0;0;3;90;150;1
712,358;0;0;3;90;150;1
712,857;0;0;3;90;150;1
713,356;0;0;3;90;150;1
713,856;0;0;3;90;150;1
714,355;0;0;3;90;150;1
714,854;0;0;3;90;150;1
715,353;0;0;3;90;150;1
715,852;0;0;3;90;150;1
716,352;0;0;3;90;150;1
716,851;0;0;3;90;150;1
717,35;0;0;3;90;150;1
717,849;0;0;3;90;150;1
718,348;0;0;3;90;150;1
718,848;0;0;3;90;150;1
719,347;0;0;3;90;150;1
719,846;0;0;3;90;150;1
720,345;0;0;3;90;150;1
720,844;0;0;3;90;150;1
721,344;0;0;3;90;150;1
721,843;0;0;3;90;150;1
722,342;0;0;3;90;150;1
722,841;0;0;3;90;150;1
723,34;0;0;3;90;150;1
723,84;0;0;3;90;150;1
724,339;0;0;3;90;150;1
724,838;0;0;3;90;150;1
725,337;0;0;3;90;150;1
725,836;0;0;3;90;150;1
726,336;0;0;3;90;150;1
726,835;0;0;3;90;150;1
727,334;0;0;3;90;150;1
727,833;0;0;3;90;150;1
728,332;0;0;3;90;150;1
728,832;0;0;3;90;150;1
729,331;0;0;3;90;150;1
729,83;0;0;3;90;150;1
730,329;0;0;3;90;150;1
730,828;0;0;3;90;150;1
731,328;0;0;3;90;150;1
731,827;0;0;3;90;150;1
732,326;0;0;3;90;150;1
732,825;0;0;3;90;150;1
733,324;0;0;3;90;150;1
733,824;0;0;3;90;150;1
734,323;0;0;3;90;150;1
734,822;0;0;3;90;150;1
735,321;0;0;3;90;150;1
735,82;0;0;3;90;150;1
736,32;0;0;3;90;150;1
736,819;0;0;3;90;150;1
737,318;0;0;3;90;150;1
737,817;0;0;3;90;150;1
738,316;0;0;3;90;150;1
738,816;0;0;3;90;150;1
739,315;0;0;3;90;150;1
739,814;0;0;3;90;150;1
740,313;0;0;3;90;150;1
740,812;0;0;3;90;150;1
741,312;0;0;3;90;150;1
741,811;0;0;3;90;150;1
742,31;0;0;3;90;150;1
742,809;0;0;3;90;150;1
743,308;0;0;3;90;150;1
743,808;0;0;3;90;150;1
744,307;0;0;3;90;150;1
744,806;0;0;3;90;150;1
745,305;0;0;3;90;150;1
745,804;0;0;3;90;150;1
746,304;0;0;3;90;150;1
746,803;0;0;3;90;150;1
747,302;0;0;3;90;150;1
747,801;0;0;3;90;150;1
748,3;0;0;3;90;150;1
748,8;0;0;3;90;150;1
749,299;0;0;3;90;150;1
749,798;0;0;3;90;150;1
750,297;0;0;3;90;150;1
750,796;0;0;3;90;150;1
751,296;0;0;3;90;150;1
751,795;0;0;3;90;150;1
752,294;0;0;3;90;150;1
752,793;0;0;3;90;150;1
753,292;0;0;3;90;150;1
753,792;0;0;3;90;150;1
754,291;0;0;3;90;150;1
754,79;0;0;3;90;150;1
755,289;0;0;3;90;150;1
755,788;0;0;3;90;150;1
756,288;0;0;3;90;150;1
756,787;0;0;3;90;150;1
757,286;0;0;3;90;150;1
757,785;0;0;3;90;150;1
758,284;0;0;3;90;150;1
758,784;0;0;3;90;150;1
759,283;0;0;3;90;150;1
759,782;0;0;3;90;150;1
760,281;0;0;3;90;150;1
760,78;0;0;3;90;150;1
761,28;0;0;3;90;150;1
761,779;0;0;3;90;150;1
762,278;0;0;3;90;150;1
762,777;0;0;3;90;150;1
763,276;0;0;3;90;150;1
763,776;0;0;3;90;150;1
764,275;0;0;3;90;150;1
764,774;0;0;3;90;150;1
765,273;0;0;3;90;150;1
765,772;0;0;3;90;150;1
766,272;0;0;3;90;150;1
766,771;0;0;3;90;150;1
767,27;0;0;3;90;150;1
767,769;0;0;3;90;150;1
768,268;0;0;3;90;150;1
768,768;0;0;3;90;150;1
769,267;0;0;3;90;150;1
769,766;0;0;3;90;150;1
770,265;0;0;3;90;150;1
770,764;0;0;3;90;150;1
771,264;0;0;3;90;150;1
771,763;0;0;3;90;150;1
772,262;0;0;3;90;150;1
772,761;0;0;3;90;150;1
773,26;0;0;3;90;150;1
773,76;0;0;3;90;150;1
774,259;0;0;3;90;150;1
774,758;0;0;3;90;150;1
775,257;0;0;3;90;150;1
775,756;0;0;3;90;150;1
776,256;0;0;3;90;150;1
776,755;0;0;3;90;150;1
777,254;0;0;3;90;150;1
777,753;0;0;3;90;150;1
778,252;0;0;3;90;150;1
778,752;0;0;3;90;150;1
779,251;0;0;3;90;150;1
779,75;0;0;3;90;150;1
780,249;0;0;3;90;150;1
780,748;0;0;3;90;150;1
781,248;0;0;3;90;150;1
781,747;0;0;3;90;150;1
782,246;0;0;3;90;150;1
782,745;0;0;3;90;150;1
783,244;0;0;3;90;150;1
783,744;0;0;3;90;150;1
784,243;0;0;3;90;150;1
784,742;0;0;3;90;150;1
785,241;0;0;3;90;150;1
785,74;0;0;3;90;150;1
786,24;0;0;3;90;150;1
786,739;0;0;3;90;150;1
787,238;0;0;3;90;150;1
787,737;0;0;3;90;150;1
788,236;0;0;3;90;150;1
788,736;0;0;3;90;150;1
789,235;0;0;3;90;150;1
789,734;0;0;3;90;150;1
790,233;0;0;3;90;150;1
790,732;0;0;3;90;150;1
791,232;0;0;3;90;150;1
791,731;0;0;3;90;150;1
792,23;0;0;3;90;150;1
792,729;0;0;3;90;150;1
793,228;0;0;3;90;150;1
